mtry,sample.fraction,MSE,runtime_training,runtime_prediction
3.0,0.16,797809447.156567,0.109999999996944,0.0299999999988358
3.0,0.17,799503906.935235,0.150000000001455,0.0299999999988358
3.0,0.18,791048520.149912,0.110000000000582,0.0300000000024738
3.0,0.19,784764406.35389,0.139999999999418,0.0299999999988358
3.0,0.2,778292057.32717,0.130000000001019,0.0400000000008731
3.0,0.21,763172308.771853,0.139999999999418,0.0400000000008731
3.0,0.22,776263885.238304,0.110000000000582,0.0299999999988358
3.0,0.23,761570042.149056,0.110000000000582,0.0400000000008731
3.0,0.24,763604369.739321,0.139999999999418,0.0600000000013097
3.0,0.25,739727812.85573,0.299999999999272,0.0300000000024738
3.0,0.26,732683241.37621,0.129999999997381,0.0299999999988358
3.0,0.27,739749015.878455,0.139999999999418,0.0400000000008731
3.0,0.28,748224571.382592,0.170000000001892,0.0299999999988358
3.0,0.29,747476178.169157,0.139999999999418,0.0400000000008731
3.0,0.3,725827069.880238,0.139999999999418,0.0299999999988358
3.0,0.31,726378704.779788,0.139999999999418,0.0299999999988358
3.0,0.32,710859552.81605,0.260000000002037,0.0499999999992724
3.0,0.33,723298930.971751,0.139999999999418,0.0300000000024738
3.0,0.34,711287850.188662,0.159999999999854,0.0499999999992724
3.0,0.35,685943196.796518,0.150000000001455,0.0499999999992724
3.0,0.36,701518402.92476,0.169999999998254,0.0499999999992724
3.0,0.37,708859749.161225,0.209999999999127,0.069999999999709
3.0,0.38,699154830.279924,0.159999999999854,0.069999999999709
3.0,0.39,700209459.252545,0.170000000001892,0.0400000000008731
3.0,0.4,692471600.487787,0.18999999999869,0.0499999999992724
3.0,0.41,691143450.273188,0.169999999998254,0.0400000000008731
3.0,0.42,675265478.576882,0.170000000001892,0.0299999999988358
3.0,0.43,672443944.842432,0.330000000001746,0.0499999999992724
3.0,0.44,685347957.733706,0.170000000001892,0.0499999999992724
3.0,0.45,674394233.991105,0.369999999998981,0.0400000000008731
3.0,0.46,683200146.937399,0.18999999999869,0.0299999999988358
3.0,0.47,670515784.49674,0.170000000001892,0.0400000000008731
3.0,0.48,666084549.267811,0.180000000000291,0.0299999999988358
3.0,0.49,664569453.172387,0.240000000001601,0.0499999999992724
3.0,0.5,658477315.5424,0.190000000002328,0.0499999999992724
3.0,0.51,663661524.334917,0.180000000000291,0.0499999999992724
3.0,0.52,668828885.330863,0.270000000000437,0.0300000000024738
3.0,0.53,656420623.894956,0.18999999999869,0.0299999999988358
3.0,0.54,656194463.574849,0.200000000000728,0.0499999999992724
3.0,0.55,666733791.516788,0.25,0.0400000000008731
3.0,0.56,670632906.543433,0.200000000000728,0.0400000000008731
3.0,0.57,667567201.825377,0.209999999999127,0.0299999999988358
3.0,0.58,652741580.5698,0.290000000000873,0.0499999999992724
3.0,0.59,648129298.906919,0.219999999997526,0.0400000000008731
3.0,0.6,658523834.332088,0.220000000001164,0.0300000000024738
3.0,0.61,648115656.738628,0.220000000001164,0.0299999999988358
3.0,0.62,651178651.595371,0.200000000000728,0.0299999999988358
3.0,0.63,648036452.332667,0.209999999999127,0.0499999999992724
3.0,0.64,642653771.830756,0.420000000001892,0.0400000000008731
3.0,0.65,644879274.472983,0.220000000001164,0.0299999999988358
