"num.trees","mtry","sample.fraction","min.node.size","replace","MSE"
500,2,0.7,5,FALSE,679848984.789743
1000,2,0.7,5,FALSE,680371217.938648
1500,2,0.7,5,FALSE,680225490.826876
500,3,0.7,5,FALSE,596220749.871964
1000,3,0.7,5,FALSE,597328460.924462
1500,3,0.7,5,FALSE,596646523.226604
500,4,0.7,5,FALSE,566012343.342458
1000,4,0.7,5,FALSE,558562477.241581
1500,4,0.7,5,FALSE,561908506.316722
500,2,0.8,5,FALSE,666758055.233351
1000,2,0.8,5,FALSE,662628376.331327
1500,2,0.8,5,FALSE,667422595.051302
500,3,0.8,5,FALSE,573918258.838583
1000,3,0.8,5,FALSE,581251270.517056
1500,3,0.8,5,FALSE,576049191.737751
500,4,0.8,5,FALSE,524570898.319253
1000,4,0.8,5,FALSE,532097544.048962
1500,4,0.8,5,FALSE,535453226.515682
500,2,0.9,5,FALSE,644286669.743826
1000,2,0.9,5,FALSE,645874872.080956
1500,2,0.9,5,FALSE,644536646.241949
500,3,0.9,5,FALSE,556952017.971786
1000,3,0.9,5,FALSE,554866846.99344
1500,3,0.9,5,FALSE,554157026.64097
500,4,0.9,5,FALSE,523505264.56674
1000,4,0.9,5,FALSE,522929237.643438
1500,4,0.9,5,FALSE,523879993.273695
500,2,1,5,FALSE,648370240.443747
1000,2,1,5,FALSE,633642669.59388
1500,2,1,5,FALSE,631348555.592424
500,3,1,5,FALSE,550897835.775344
1000,3,1,5,FALSE,545100584.774697
1500,3,1,5,FALSE,542249065.145365
500,4,1,5,FALSE,504866493.790309
1000,4,1,5,FALSE,514400889.950632
1500,4,1,5,FALSE,512074919.141594
500,2,0.5,10,FALSE,774097696.020207
1000,2,0.5,10,FALSE,765529607.711086
1500,2,0.5,10,FALSE,767331742.921544
500,3,0.5,10,FALSE,643712494.376556
1000,3,0.5,10,FALSE,651508979.7895
1500,3,0.5,10,FALSE,653208233.343182
500,4,0.5,10,FALSE,619640749.885555
1000,4,0.5,10,FALSE,619318376.689391
1500,4,0.5,10,FALSE,623203660.477177
500,2,0.6,10,FALSE,733801369.665843
1000,2,0.6,10,FALSE,732657666.059097
1500,2,0.6,10,FALSE,734752741.66204
500,3,0.6,10,FALSE,629598887.254606
1000,3,0.6,10,FALSE,635574053.444278
1500,3,0.6,10,FALSE,636699067.648
500,4,0.6,10,FALSE,597448920.769285
1000,4,0.6,10,FALSE,593635833.623621
1500,4,0.6,10,FALSE,594073089.630943
500,2,0.7,10,FALSE,708865163.019942
1000,2,0.7,10,FALSE,704708847.977357
1500,2,0.7,10,FALSE,707874180.436282
500,3,0.7,10,FALSE,605670840.418818
1000,3,0.7,10,FALSE,610114675.824584
1500,3,0.7,10,FALSE,611201871.37606
500,4,0.7,10,FALSE,596207916.50475
1000,4,0.7,10,FALSE,586192366.749804
1500,4,0.7,10,FALSE,584462977.94167
500,2,0.8,10,FALSE,688500600.220909
1000,2,0.8,10,FALSE,684891828.624847
1500,2,0.8,10,FALSE,687574875.211568
500,3,0.8,10,FALSE,590796910.674773
1000,3,0.8,10,FALSE,598031655.083163
1500,3,0.8,10,FALSE,598190444.314489
500,4,0.8,10,FALSE,557153549.516125
1000,4,0.8,10,FALSE,561389519.308609
1500,4,0.8,10,FALSE,565484420.824013
500,2,0.9,10,FALSE,672051965.494536
1000,2,0.9,10,FALSE,664584196.844163
1500,2,0.9,10,FALSE,669268574.396475
500,3,0.9,10,FALSE,579545208.877954
1000,3,0.9,10,FALSE,578832662.517018
1500,3,0.9,10,FALSE,580902633.03112
500,4,0.9,10,FALSE,548045125.997856
1000,4,0.9,10,FALSE,538687380.413515
1500,4,0.9,10,FALSE,542300444.203647
500,2,1,10,FALSE,660754344.835788
1000,2,1,10,FALSE,653914682.884665
1500,2,1,10,FALSE,655140129.706083
500,3,1,10,FALSE,568347153.014817
1000,3,1,10,FALSE,560211449.880822
1500,3,1,10,FALSE,561480372.409691
500,4,1,10,FALSE,526231783.589288
1000,4,1,10,FALSE,526166184.302907
1500,4,1,10,FALSE,529255244.031241
