sample.fraction,min.node.size,MSE,runtime_training,runtime_prediction
0.05,15.0,999462249.916896,0.0600000000013097,0.0299999999988358
0.05,16.0,1014957913.89768,0.0600000000013097,0.0200000000004366
0.05,17.0,1029230084.5964,0.0599999999976717,0.0400000000008731
0.05,18.0,1043533716.12799,0.0600000000013097,0.0299999999988358
0.05,19.0,1058590841.5125,0.0599999999976717,0.0200000000004366
0.05,20.0,1079853911.80958,0.0600000000013097,0.0299999999988358
0.05,21.0,1099602317.99747,0.0599999999976717,0.0200000000004366
0.05,22.0,1118968274.98314,0.0600000000013097,0.0299999999988358
0.05,23.0,1134573457.05109,0.0499999999992724,0.0299999999988358
0.05,24.0,1153868752.32627,0.0599999999976717,0.0200000000004366
0.05,25.0,1172725830.69583,0.069999999999709,0.0299999999988358
0.05,26.0,1185186814.55692,0.0499999999992724,0.0200000000004366
0.05,27.0,1198474728.38372,0.0599999999976717,0.0300000000024738
0.05,28.0,1212650495.34906,0.0499999999992724,0.0099999999983992
0.05,29.0,1233411372.066,0.0500000000029104,0.0300000000024738
0.05,30.0,1250675891.4935,0.0499999999992724,0.0099999999983992
0.05,31.0,1265535569.43114,0.0600000000013097,0.0299999999988358
0.05,32.0,1278401511.11056,0.0499999999992724,0.0300000000024738
0.05,33.0,1294164060.74414,0.0400000000008731,0.0299999999988358
0.05,34.0,1309815904.1708,0.0600000000013097,0.0200000000004366
0.05,35.0,1324874260.37241,0.0599999999976717,0.0200000000004366
0.05,36.0,1343142031.18995,0.069999999999709,0.0299999999988358
0.05,37.0,1361202947.2083,0.0499999999992724,0.0299999999988358
0.05,38.0,1379208233.55729,0.0400000000008731,0.0300000000024738
0.05,39.0,1395602284.32267,0.0400000000008731,0.0400000000008731
0.05,40.0,1411062788.64205,0.0499999999992724,0.0299999999988358
0.05,41.0,1430957206.8858,0.0499999999992724,0.0299999999988358
0.05,42.0,1457889651.71452,0.0400000000008731,0.0300000000024738
0.05,43.0,1481140747.219,0.0400000000008731,0.0200000000004366
0.05,44.0,1494697729.67969,0.0499999999992724,0.0100000000020373
0.05,45.0,1523474121.31967,0.0600000000013097,0.0099999999983992
0.05,46.0,1539805430.47524,0.0600000000013097,0.0100000000020373
0.05,47.0,1551989301.9415,0.0499999999992724,0.0299999999988358
0.05,48.0,1576094694.94927,0.0400000000008731,0.0299999999988358
0.05,49.0,1599972797.25576,0.0499999999992724,0.0200000000004366
0.05,50.0,1625731411.24051,0.0599999999976717,0.0100000000020373
0.06,1.0,789108639.644726,0.110000000000582,0.0299999999988358
0.06,2.0,798963718.374141,0.0999999999985448,0.0299999999988358
0.06,3.0,796267803.021335,0.0999999999985448,0.0299999999988358
0.06,4.0,810275160.573787,0.0800000000017462,0.0400000000008731
0.06,5.0,811098318.667212,0.0800000000017462,0.0299999999988358
0.06,6.0,821885770.805757,0.100000000002183,0.0300000000024738
0.06,7.0,829711217.985388,0.0800000000017462,0.0200000000004366
0.06,8.0,836728237.737677,0.0799999999981083,0.0299999999988358
0.06,9.0,847337918.459141,0.069999999999709,0.0200000000004366
0.06,10.0,859910852.291361,0.0800000000017462,0.0300000000024738
0.06,11.0,877352058.365209,0.0600000000013097,0.0299999999988358
0.06,12.0,881625126.118407,0.0600000000013097,0.0300000000024738
0.06,13.0,897646144.922371,0.069999999999709,0.0200000000004366
0.06,14.0,914327095.189513,0.0799999999981083,0.0200000000004366
0.06,15.0,931110439.086115,0.0800000000017462,0.0100000000020373
0.06,16.0,945372890.712363,0.069999999999709,0.0299999999988358
0.06,17.0,958257007.113042,0.0599999999976717,0.0400000000008731
0.06,18.0,975430068.921902,0.0600000000013097,0.0299999999988358
0.06,19.0,995935713.471683,0.0599999999976717,0.0299999999988358
0.06,20.0,1015901727.32861,0.0600000000013097,0.0299999999988358
0.06,21.0,1031167713.5061,0.0599999999976717,0.0300000000024738
0.06,22.0,1047490364.17743,0.0600000000013097,0.0299999999988358
0.06,23.0,1059992748.69893,0.0599999999976717,0.0300000000024738
0.06,24.0,1077778933.69772,0.069999999999709,0.0099999999983992
0.06,25.0,1090609353.61364,0.0600000000013097,0.0200000000004366
0.06,26.0,1103392498.87787,0.069999999999709,0.0299999999988358
0.06,27.0,1117585633.26567,0.0599999999976717,0.0400000000008731
0.06,28.0,1134906609.15656,0.0600000000013097,0.0299999999988358
0.06,29.0,1145422647.77356,0.0599999999976717,0.0200000000004366
